mu,run,avg_price,correlation,avg_regret
0.05,0,0.5,0.01752563866569644,0.010530271067663318
0.05,1,0.5,0.03510551978953585,0.016616752879657408
0.05,2,0.45,0.02805424407200532,0.014470423510078401
0.05,3,0.45,-0.027130952346118068,0.01512069432899109
0.05,4,0.45,-0.0027382256435039736,0.010843427418883177
0.05,5,0.5,0.04072127134083975,0.012587883388751242
0.05,6,0.45,0.08659042594789236,0.011577987214919025
0.05,7,0.5,0.1094396164132197,0.014268360147745053
0.05,8,0.4,0.07781940916373745,0.009604807457665579
0.05,9,0.45,0.006654272094954224,0.011830048532609723
0.05,10,0.5,-0.015827962923343358,0.011044012438286614
0.05,11,0.45,0.06688848611022785,0.012465303832019343
0.05,12,0.45,-0.036305407946444775,0.013036100465935336
0.05,13,0.4,-0.007300937244934841,0.012109823788516189
0.05,14,0.5,-0.015797490610941257,0.011614536790240215
0.05,15,0.4,0.031135814611422567,0.010377282226426952
0.05,16,0.45,0.015080096170955168,0.012246915529508628
0.05,17,0.45,-0.021861574810080317,0.01187415800569266
0.05,18,0.5,0.0004473558446879314,0.014604289652046649
0.05,19,0.4,0.04326992372352202,0.008820699337944774
0.05,20,0.4,-0.020187171683326392,0.011020023689556603
0.05,21,0.5,-0.04084228523046833,0.010242042124362532
0.05,22,0.45,-0.06147177312780989,0.011864966538107403
0.05,23,0.45,-0.05548945304745617,0.012752670927712501
0.05,24,0.5,0.14901152769777395,0.013938928959943971
0.05,25,0.45,-0.06194534639122279,0.01240377692731157
0.05,26,0.45,0.004606343638651212,0.011864467321941085
0.05,27,0.5,-0.07914847206616954,0.013619451613049671
0.05,28,0.4,0.09455704045611053,0.008659207919566713
0.05,29,0.5,0.012870597606170157,0.01449125469937131
0.05,30,0.5,0.013117170934372806,0.011874199942329453
0.05,31,0.5,0.01141368000932185,0.01006961116141995
0.05,32,0.4,0.08011887355794746,0.011124493907856817
0.05,33,0.4,0.09783633949844373,0.010281678551994008
0.05,34,0.45,-0.004073394768847459,0.010976983919432097
0.05,35,0.5,0.021387819152404296,0.010730721487582064
0.05,36,0.45,-0.07651893425879495,0.01227863645128419
0.05,37,0.5,0.0644253007762934,0.014412703064663312
0.05,38,0.5,0.01065552713528908,0.012081131777995607
0.05,39,0.4,0.07377195102322928,0.011005189094575091
0.05,40,0.5,-0.03659317493286566,0.012406694652327285
0.05,41,0.45,-0.03662355546057171,0.01331350948760874
0.05,42,0.5,0.030805757843448304,0.012681257029478976
0.05,43,0.5,0.039933676143875316,0.015354762699635274
0.05,44,0.45,-0.03225229205606171,0.012212964867234985
0.05,45,0.4,-0.038099442867384224,0.009681701399415949
0.05,46,0.45,0.29488009913084007,0.014405866158648365
0.05,47,0.5,0.07989446604279057,0.009783195760675448
0.05,48,0.45,-0.02868965308592537,0.011892726604199672
0.05,49,0.4,0.06640960684517311,0.01101627027076165
0.25,0,0.5,-0.0327966842526332,0.014486721997302374
0.25,1,0.4,-0.08935829878266387,0.012201777828019487
0.25,2,0.5,0.009127795406818974,0.013421525999831336
0.25,3,0.45,0.031507705929123365,0.013276573405924759
0.25,4,0.5,-0.005805211761526339,0.010664063820656714
0.25,5,0.45,0.05832850845906253,0.011370959942112076
0.25,6,0.45,0.023925583365775414,0.01900415651354863
0.25,7,0.45,0.020249466677346603,0.012998466138481119
0.25,8,0.45,0.13197348550952806,0.008925444483403546
0.25,9,0.5,0.06269624097739576,0.016283008499676233
0.25,10,0.5,0.027126347779390905,0.014507011964603567
0.25,11,0.5,-0.0383175229777715,0.014608415839228091
0.25,12,0.45,0.048738596402563,0.015601231265233263
0.25,13,0.45,-0.014719988214487022,0.013426597460749106
0.25,14,0.5,-0.03532903570802857,0.01170511596775374
0.25,15,0.45,0.02452803796653358,0.013858128564013476
0.25,16,0.5,0.0386993435428355,0.009294857013551691
0.25,17,0.5,0.12553668701009085,0.013632124189076356
0.25,18,0.5,0.03936362836336629,0.01364620753956618
0.25,19,0.5,-0.01951106138073187,0.013988892988420319
0.25,20,0.55,0.017775272187157302,0.01513647191099463
0.25,21,0.45,0.04340906685884212,0.010960709896946913
0.25,22,0.5,-0.051074400228209686,0.014953882852276022
0.25,23,0.5,-0.046126041118313685,0.011484894432021504
0.25,24,0.5,0.015005061402490548,0.011164866490754826
0.25,25,0.5,0.03001935581186096,0.011746146148977012
0.25,26,0.5,0.12174381324650499,0.011391942977029106
0.25,27,0.45,0.031523190875450566,0.01190984584576622
0.25,28,0.4,-0.06397268046870283,0.009089237293327963
0.25,29,0.4,-0.06713949572153455,0.01087608967816183
0.25,30,0.5,-0.03126508747218109,0.013507873521427358
0.25,31,0.45,0.009067398582338411,0.013953909537210131
0.25,32,0.4,0.024577981753761805,0.011890531090475685
0.25,33,0.45,-0.09864594282466832,0.015614886203028486
0.25,34,0.45,0.020676355592649548,0.013326813944891713
0.25,35,0.5,0.014886156814836645,0.0144158793118467
0.25,36,0.5,0.15463350392580658,0.009029574359536127
0.25,37,0.5,0.1221467396656521,0.015134106051656621
0.25,38,0.55,0.15107171983626666,0.02175917916680651
0.25,39,0.5,-0.017258101077069793,0.010684990934790759
0.25,40,0.5,0.01192386060532275,0.010134091573698082
0.25,41,0.5,-0.02139738164889743,0.012985766596963048
0.25,42,0.4,-0.03137777984277892,0.013832639745966989
0.25,43,0.5,0.02566583145291771,0.010424587584241876
0.25,44,0.5,0.07232645298452893,0.010280836929059928
0.25,45,0.45,-0.06574930664608503,0.011071276659097538
0.25,46,0.5,-0.06030285546144248,0.01364471946592867
0.25,47,0.45,-0.12205651660452929,0.014014812589987505
0.25,48,0.5,-0.048567364362768844,0.016452940244769284
0.25,49,0.45,0.12755212006763605,0.012343786537040099
0.5,0,0.5,-0.07409406571393458,0.02091545767482597
0.5,1,0.45,0.01698955064391384,0.021220721939059353
0.5,2,0.5,0.02333416276047656,0.02121558630509749
0.5,3,0.4,-0.10514044909190452,0.026336569964915464
0.5,4,0.5,0.006442737662166722,0.029866792697247804
0.5,5,0.5,0.15821583308981021,0.014456449419304858
0.5,6,0.55,0.09396337247666037,0.018845717952030105
0.5,7,0.6,0.09715255953388169,0.026383968959996965
0.5,8,0.55,0.10259605509588954,0.022317136924663084
0.5,9,0.45,0.02843502058746465,0.02955492478889521
0.5,10,0.5,-0.019051352880976816,0.013083179545589395
0.5,11,0.6,0.09870654697228361,0.02864979054779868
0.5,12,0.5,-0.14630685089642717,0.01683408869619945
0.5,13,0.4,0.1573495710984532,0.019176057187858815
0.5,14,0.5,-0.030985185870860806,0.018018576053077166
0.5,15,0.5,0.023824783725611386,0.017411267937288904
0.5,16,0.45,0.03911765798870889,0.023030490022315622
0.5,17,0.5,0.20342167662698002,0.020810014355989608
0.5,18,0.5,0.04495087339784194,0.016413285692394794
0.5,19,0.45,-0.09496633121728666,0.016417629111206443
0.5,20,0.55,0.032612109411925355,0.02772710041937648
0.5,21,0.45,0.11204729552867546,0.01468022952005788
0.5,22,0.6000000000000001,-0.11009159225576909,0.027559886419361898
0.5,23,0.5,-0.13358452223402756,0.016122052107335742
0.5,24,0.45,-0.05355951924211717,0.015468427905202005
0.5,25,0.5,0.01431954925166053,0.012260569557878378
0.5,26,0.45,-0.13018256204656026,0.01736675286688464
0.5,27,0.4,-0.037994005694976164,0.023437203216233257
0.5,28,0.5,0.20377261950737882,0.01516832490013028
0.5,29,0.45,-0.05443858430041332,0.020953207912310586
0.5,30,0.45,0.09707144595170283,0.023661252072173174
0.5,31,0.5,0.09746469125584008,0.015650374187061673
0.5,32,0.45,0.15424365371569806,0.01721375074390344
0.5,33,0.45,0.03406176348193421,0.022929576148811706
0.5,34,0.5,0.1451118908687181,0.019393048638800574
0.5,35,0.45,0.025753393877595426,0.021487264492125555
0.5,36,0.5,0.0491224398639136,0.015492873267107847
0.5,37,0.55,0.47754450779416896,0.027058250188759625
0.5,38,0.5,-0.03436647425227366,0.01852597451203785
0.5,39,0.5,-0.19557171248024513,0.021410895721328503
0.5,40,0.5,-0.035940170079815356,0.01590399632013536
0.5,41,0.55,0.26774246770696,0.022646436988945744
0.5,42,0.5,0.18528406646318946,0.01360410657474594
0.5,43,0.5,0.12495823754061772,0.014150834485341397
0.5,44,0.5,0.08851268270604708,0.02164508502270036
0.5,45,0.55,-0.05765198650437083,0.030788453360079474
0.5,46,0.4,0.04168279475649504,0.023519405525108186
0.5,47,0.5,0.030813344884995757,0.016369411647993378
0.5,48,0.45,0.09648694998065278,0.018290925023383267
0.5,49,0.45,0.20878826673091236,0.01792353236006828
